"Modules Information","Information sur les modules"
"Open Extension Page","Page d'extension"
"Please <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contact us</a>, if you have some issues with one of our modules.","Veuillez <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>nous contacter</a>, si vous rencontrez des problèmes avec nos modules"
"Troubleshooting","Dépannage"
"Changelog","Changer le login"
"Download Latest Version","Télécharger la dernière version"
"Download","Télécharger"
"Manage","Gérer"
"Upgrades are not installed","Les mises à jour ne sont pas installées"
"New version is available","Une nouvelle version est disponible"
"Upgrade Information","Information de mise à jour"
"Activate this checkbox, if you want to skip the upgrade operations","Activer cette boîte si vous ne souhaitez pas effectuer les opérations de mise à jour"
"Module data will be upgraded from %s to %s at the following stores","Les données de module vont être mises à jour de %s à %s dans les magasins suivants"
"Install and Reinstall Information","Information d'Installation et de Réinstallation"
"Identity Key","Clé d'identification"
"Get your identity key at <a href=""%s"" title=""%s"" target=""_blank"">%s</a>","Recevez votre clé d'idendification <a href=""%s"" title=""%s"" target=""_blank"">%s</a>"
"Select stores to install or reinstall module","Sélectionnez des magasins pour installer ou réinstaller le module"
"Module is already installed at following stores","Le module est déjà installé dans les magasins suivants"
"Manage Module","Gérer le module"
"Code","Code"
"Local Version","Version locale"
"Latest Version","Dernière version"
"Version Status","Statut de la version"
"Run","En marche"
"Upgrade and Install/Reinstall %s %s (Data version %s)","Mise à jour et Installer/Réinstallr %s %s (Version de données %s)"
"Install or Reinstall %s %s (Data version %s)","Installer ou Reinstaller %s %s (Verion de données %s)"
"Install %s %s","Installer %s %s"
"Modules","Modules"
"The module has been saved","Le module a été enregistré"
"updated","Mis à jour"
"outdated","Pas à jour"
"deprecated","Obsolète"
"Identity key is required","La clé d'identification est requise"
"Response error: %s","Réponse d'erreur: %s"
"Sorry, try again in five minutes. Validation response parsing error: %s","Veuillez réessayer dans 5 minutes. Validation du message d'analyse d'erreur: %s"
"Module code is required","Le code du module est requis"
"Domain name is required","Le nom de domaine est requis"
"Identity key is not valid","La clé d'identification n'est pas valide"
"%s module is not found in purchase history","%s le module n'a pas été trouvé dans l'historique d'achat"
"%s activations limit reached. Please <a href=""%s"" title=""%s"" target=""_blank"">buy the product</a> to activate more domains","%s Limite d'activations atteinte. Aller sur <a href=""%s"" title=""%s"" target=""_blank"">acheter le produit</a> pour activer plus de domaines"
"Module ""%s"" is not activated for ""%s"" domain. Please, <a href=""%s"" title=""%s"" target=""_blank"">activate</a> it from our site. %s activations left","Le module ""%s"" n'est pas activé pour le domaine ""%s"". Veuillez l' <a href=""%s"" title=""%s"" target=""_blank"">activer</a> depuis notre site. %s activations restantes."
"You are trying to use %s activation(s) for %s module. Only %s activations left. Please <a href=""%s"" title=""%s"">buy the product</a> to activate more domains","Vou essayer d'utiliser la/les activation/s %s pour le module %s . Seulement %s activations restantes. Veuillez <a href=""%s"" title=""%s"">acheter le produit</a> pour activer plus de domaines."
"Installed products","Produits installés"
"Product promotions and discounts","Promotions et remises sur les produits"
"New Products","Nouveaux produits"
"Product updates","Mises à jour du produit"
"Other","Autre"
"News to show in notification bar","Actualités à montrer dans la barre de notification"
