"Modules Information","Informazioni Modulo"
"Open Extension Page","Apri Pagina Estensione"
"Please <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contact us</a>, if you have some issues with one of our modules.","Per favore <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contattaci</a>, se hai dei problemi con uno dei nostri moduli."
"Troubleshooting","Risoluzione Problemi"
"Changelog","Changelog"
"Download Latest Version","Scarica Ultima Versione"
"Download","Download"
"Manage","Gestisci"
"Upgrades are not installed","Upgrade non installati"
"New version is available","Nuova versione disponibile"
"Upgrade Information","Informazioni Upgrade"
"Activate this checkbox, if you want to skip the upgrade operations","Attiva questa casella, se vuoi saltare le operazioni di upgrade"
"Module data will be upgraded from %s to %s at the following stores","Verrà effettuato l'upgrade dei moduli da %s a %s ai seguenti negozi"
"Install and Reinstall Information","Installa e Reinstalla Informazioni"
"Identity Key","Chiave Identità"
"Get your identity key at <a href=""%s"" title=""%s"" target=""_blank"">%s</a>","Ottieni la tua chiave identità a <a href=""%s"" title=""%s"" target=""_blank"">%s</a>"
"Select stores to install or reinstall module","Seleziona negozi per installare o reinstallare il modulo"
"Module is already installed at following stores","Modulo già installato nei seguenti negozi"
"Manage Module","Gestisci Modulo"
"Code","Codice"
"Local Version","Versione Locale"
"Latest Version","Ultima Versione"
"Version Status","Stato Versione"
"Run","Esegui"
"Upgrade and Install/Reinstall %s %s (Data version %s)","Fai l'Upgrade e Installa/Reinstalla %s %s (Versione Dati %s)"
"Install or Reinstall %s %s (Data version %s)","Installa o Reinstalla %s %s (Versione Dati %s)"
"Install %s %s","Installa %s %s"
"Modules","Moduli"
"The module has been saved","Il modulo è stato salvato"
"updated","aggiornato"
"outdated","obsoleto"
"deprecated","deprecato"
"Identity key is required","Chiave identità necessaria"
"Response error: %s","Errore Risposta: %s"
"Sorry, try again in five minutes. Validation response parsing error: %s","Spiacente, riprova tra cinque minuti. Errore parsing risposta validazione: %s"
"Module code is required","Codice modulo necessario"
"Domain name is required","Nome dominio richiesto"
"Identity key is not valid","Chiave identità non valida"
"%s module is not found in purchase history","Modulo %s non trovato nello storico acquisti"
"%s activations limit reached. Please <a href=""%s"" title=""%s"" target=""_blank"">buy the product</a> to activate more domains","limite attivazioni %s raggiunto. Per favore <a href=""%s"" title=""%s"" target=""_blank"">acquista il prodotto</a> per attivare più domini"
"Module ""%s"" is not activated for ""%s"" domain. Please, <a href=""%s"" title=""%s"" target=""_blank"">activate</a> it from our site. %s activations left","Modulo ""%s"" non attivato per il dominio ""%s"". Per favore, <a href=""%s"" title=""%s"" target=""_blank"">attivalo</a> dal nostro sito. %s attivazioni rimaste"
"You are trying to use %s activation(s) for %s module. Only %s activations left. Please <a href=""%s"" title=""%s"">buy the product</a> to activate more domains","Stai cercando di utilizzare %s attivazione/i per il modulo %s. Solo %s attivazioni rimaste. Per favore <a href=""%s"" title=""%s"">acquista il prodotto</a> per attivare più domini"
"Installed products","Prodotti installati"
"Product promotions and discounts","Promozioni prodotto e sconti"
"New Products","Nuovi Prodotti"
"Product updates","Aggiornamenti prodotto"
"Other","Altro"
"News to show in notification bar","News da mostrare nella barra notifiche"
