"Modules Information","Modules Informatie"
"Open Extension Page","Open Extensie Pagina"
"Please <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contact us</a>, if you have some issues with one of our modules.","Gelieve <a href='http://templates-master.com/contacts' onclick='window.open(this.href); return false;'>contacteer ons</a>, indien je problemen hebt met een van onze modules."
"Troubleshooting","Probleemoplossing"
"Changelog","Changelog"
"Download Latest Version","Download de laatste versie"
"Download","Download"
"Manage","Beheer"
"Upgrades are not installed","Upgrades zijn niet geinstalleerd"
"New version is available","Nieuwe versie werd geinstalleerd"
"Upgrade Information","Upgrade Informatie"
"Activate this checkbox, if you want to skip the upgrade operations","Activeer dit vakje indien je deze upgrade handelingen wil overslaan"
"Module data will be upgraded from %s to %s at the following stores","data Module zal geupdatet worden %s to %s in de volgende winkels"
"Install and Reinstall Information","Installeer en herinstalleer Informatie"
"Identity Key","Identificatie Sleutel"
"Get your identity key at <a href=""%s"" title=""%s"" target=""_blank"">%s</a>","Krijg je identificatiesleutel bij <a href=""%s"" title=""%s"" target=""_blank"">%s</a>"
"Select stores to install or reinstall module","Selecteer winkels om de module te installeren of te herinstalleren"
"Module is already installed at following stores","Module is reeds geinstalleerd in de volgende winkels"
"Manage Module","Beheer Module"
"Code","Code"
"Local Version","Locale Versie"
"Latest Version","Laatste Versie"
"Version Status","Versie Status"
"Run","Run"
"Upgrade and Install/Reinstall %s %s (Data version %s)","Upgrade en Installeer/Herinstalleer %s %s (Data versie %s)"
"Install or Reinstall %s %s (Data version %s)","Installeer or Herinstalleer %s %s (Data versie %s)"
"Install %s %s","Installeer %s %s"
"Modules","Modules"
"The module has been saved","De module werd opgeslagen"
"updated","geupdated"
"outdated","verouderd"
"deprecated","deprecated"
"Identity key is required","Identiteits sleutel is vereist"
"Response error: %s","Respons fout: %s"
"Sorry, try again in five minutes. Validation response parsing error: %s","Sorry,  probeer opnieuw binnen vijf minuten. Validatie respons parsing fout: %s"
"Module code is required","Module code is vereist"
"Domain name is required","Domein naam is vereist"
"Identity key is not valid","Identiteits sleutel is niet geldig"
"%s module is not found in purchase history","%s module word niet gevonden in de aankoop geschiedenis"
"%s activations limit reached. Please <a href=""%s"" title=""%s"" target=""_blank"">buy the product</a> to activate more domains","%s activatie limiet bereikt. Gelieve <a href=""%s"" title=""%s"" target=""_blank"">het product te kopen</a>om meer domeinen te activeren."
"Module ""%s"" is not activated for ""%s"" domain. Please, <a href=""%s"" title=""%s"" target=""_blank"">activate</a> it from our site. %s activations left","Module ""%s"" is niet geactiveerd voor domein ""%s"". Gelieve, <a href=""%s"" title=""%s"" target=""_blank"">te activeren</a> van onze site. %s activaties over"
"You are trying to use %s activation(s) for %s module. Only %s activations left. Please <a href=""%s"" title=""%s"">buy the product</a> to activate more domains","Je probeert %s activatie(s)te gebruiken voor %s module. Nog %s activaties over. Gelieve <a href=""%s"" title=""%s"">het product te kopen </a> om meer domeinen te activeren"
"Installed products","Geinstalleerde producten"
"Product promotions and discounts","Product promoties en kortingen"
"New Products","Nieuwe Producten"
"Product updates","Product updates"
"Other","Andere"
"News to show in notification bar","Nieuws te laten zien in de notificatiebalk"
